sentence_id,nodes,edges,tree_height,leaf_nodes,branching_factor,avg_dependency_distance
1,12,11,3,7,0.9166666666666666,0
2,18,21,3,13,1.1666666666666667,0
3,10,9,3,5,0.9,0
4,22,22,6,14,1.0,0
5,18,19,7,8,1.0555555555555556,0
8,11,11,3,5,1.0,0
10,24,27,4,12,1.125,0
11,24,27,5,12,1.125,0
12,18,17,4,11,0.9444444444444444,0
14,19,20,6,9,1.0526315789473684,0
15,14,14,5,8,1.0,0
16,9,8,5,4,0.8888888888888888,0
17,22,26,0,12,1.1818181818181819,0
18,28,28,6,17,1.0,0
19,13,13,2,9,1.0,0
20,12,13,3,8,1.0833333333333333,0
21,8,7,3,4,0.875,0
22,17,17,3,12,1.0,0
23,11,10,5,6,0.9090909090909091,0
24,15,15,3,12,1.0,0
25,13,13,0,7,1.0,0
26,26,25,5,17,0.9615384615384616,0
27,26,27,6,15,1.0384615384615385,0
28,23,25,5,10,1.0869565217391304,0
29,14,13,4,8,0.9285714285714286,0
30,20,21,6,12,1.05,0
31,24,26,5,14,1.0833333333333333,0
32,27,28,8,13,1.037037037037037,0
33,21,22,5,12,1.0476190476190477,0
35,10,10,3,4,1.0,0
36,8,10,2,5,1.25,0
37,25,25,7,13,1.0,0
38,14,17,6,7,1.2142857142857142,0
39,23,24,7,12,1.0434782608695652,0
40,11,10,5,6,0.9090909090909091,0
41,16,16,3,10,1.0,0
42,21,21,4,12,1.0,0
43,24,24,5,15,1.0,0
44,15,14,6,8,0.9333333333333333,0
45,15,15,3,9,1.0,0
46,26,28,9,13,1.0769230769230769,0
47,16,18,8,8,1.125,0
48,21,22,3,12,1.0476190476190477,0
49,18,21,5,9,1.1666666666666667,0
50,15,16,5,8,1.0666666666666667,0
51,17,16,5,7,0.9411764705882353,0
52,19,20,6,9,1.0526315789473684,0
53,14,14,5,8,1.0,0
54,18,20,6,9,1.1111111111111112,0
55,11,10,3,7,0.9090909090909091,0
56,23,26,4,13,1.1304347826086956,0
57,21,23,4,9,1.0952380952380953,0
58,14,14,5,8,1.0,0
59,18,20,4,10,1.1111111111111112,0
60,14,13,6,7,0.9285714285714286,0
61,22,25,6,11,1.1363636363636365,0
62,13,15,4,6,1.1538461538461537,0
63,17,19,5,8,1.1176470588235294,0
64,14,14,3,8,1.0,0
65,20,24,7,8,1.2,0
66,19,19,9,7,1.0,0
67,14,13,5,8,0.9285714285714286,0
68,16,15,6,8,0.9375,0
69,18,17,4,9,0.9444444444444444,0
70,13,13,5,6,1.0,0
71,21,20,4,13,0.9523809523809523,0
72,12,12,3,8,1.0,0
73,17,17,4,9,1.0,0
74,9,9,3,5,1.0,0
75,14,15,5,6,1.0714285714285714,0
76,19,21,6,8,1.105263157894737,0
77,23,26,5,11,1.1304347826086956,0
78,21,24,7,6,1.1428571428571428,0
79,17,18,4,8,1.0588235294117647,0
80,21,20,4,13,0.9523809523809523,0
81,20,20,4,11,1.0,0
82,15,14,4,8,0.9333333333333333,0
83,14,13,4,7,0.9285714285714286,0
84,21,25,0,8,1.1904761904761905,0
85,15,14,3,10,0.9333333333333333,0
86,20,22,6,9,1.1,0
87,22,22,5,12,1.0,0
88,19,19,6,12,1.0,0
89,14,13,4,7,0.9285714285714286,0
90,22,23,8,13,1.0454545454545454,0
91,14,14,4,6,1.0,0
92,17,17,4,10,1.0,0
93,27,27,0,15,1.0,0
94,23,23,6,12,1.0,0
95,12,11,4,6,0.9166666666666666,0
96,18,20,6,7,1.1111111111111112,0
97,12,12,3,6,1.0,0
98,30,31,7,15,1.0333333333333334,0
99,27,28,6,15,1.037037037037037,0
100,12,11,3,7,0.9166666666666666,0
101,20,20,4,12,1.0,0
102,27,28,5,15,1.037037037037037,0
103,15,15,7,8,1.0,0
104,15,15,6,8,1.0,0
105,23,23,6,12,1.0,0
106,25,33,6,13,1.32,0
107,19,19,4,13,1.0,0
108,15,14,5,10,0.9333333333333333,0
109,16,16,4,10,1.0,0
110,22,22,6,13,1.0,0
111,22,22,0,12,1.0,0
112,18,18,4,11,1.0,0
113,17,16,4,9,0.9411764705882353,0
114,20,24,4,12,1.2,0
115,19,22,4,11,1.1578947368421053,0
116,13,14,4,6,1.0769230769230769,0
117,20,20,4,12,1.0,0
118,17,16,4,10,0.9411764705882353,0
119,8,7,2,6,0.875,0
120,20,21,0,10,1.05,0
121,12,11,4,7,0.9166666666666666,0
122,21,22,7,9,1.0476190476190477,0
123,19,19,9,9,1.0,0
124,9,8,2,6,0.8888888888888888,0
125,19,18,4,12,0.9473684210526315,0
126,23,26,5,13,1.1304347826086956,0
127,14,15,3,8,1.0714285714285714,0
128,15,17,6,6,1.1333333333333333,0
130,16,16,5,8,1.0,0
131,20,20,5,10,1.0,0
132,11,11,4,5,1.0,0
133,9,9,2,4,1.0,0
134,15,15,4,10,1.0,0
135,12,11,3,8,0.9166666666666666,0
136,7,6,3,4,0.8571428571428571,0
137,16,17,8,7,1.0625,0
138,7,6,2,4,0.8571428571428571,0
139,11,12,3,5,1.0909090909090908,0
140,20,19,5,11,0.95,0
141,19,19,6,9,1.0,0
142,24,26,6,15,1.0833333333333333,0
143,13,12,3,8,0.9230769230769231,0
144,11,10,3,6,0.9090909090909091,0
145,19,19,4,10,1.0,0
146,17,17,3,9,1.0,0
147,17,22,5,7,1.2941176470588236,0
148,14,14,4,7,1.0,0
149,11,12,5,5,1.0909090909090908,0
150,12,18,3,7,1.5,0
151,8,7,2,6,0.875,0
154,12,20,3,7,1.6666666666666667,0
157,15,21,4,9,1.4,0
158,16,24,5,9,1.5,0
159,17,28,4,10,1.6470588235294117,0
160,10,9,3,7,0.9,0
161,10,9,4,6,0.9,0
162,10,9,4,6,0.9,0
163,8,7,3,5,0.875,0
164,14,13,6,8,0.9285714285714286,0
165,15,16,3,7,1.0666666666666667,0
166,11,13,3,8,1.1818181818181819,0
169,15,23,4,9,1.5333333333333334,0
170,16,23,4,10,1.4375,0
171,16,25,4,10,1.5625,0
172,15,20,4,9,1.3333333333333333,0
173,3,2,1,2,0.6666666666666666,0
174,18,22,5,11,1.2222222222222223,0
175,16,22,4,10,1.375,0
176,10,9,3,7,0.9,0
177,12,12,5,7,1.0,0
178,16,15,5,9,0.9375,0
179,11,11,3,8,1.0,0
181,15,20,4,9,1.3333333333333333,0
183,21,26,6,10,1.2380952380952381,0
186,18,28,5,9,1.5555555555555556,0
187,27,31,5,18,1.1481481481481481,0
188,16,15,4,9,0.9375,0
189,13,12,5,8,0.9230769230769231,0
190,23,24,5,11,1.0434782608695652,0
191,6,5,2,3,0.8333333333333334,0
192,20,20,6,11,1.0,0
193,20,21,4,12,1.05,0
194,22,24,6,9,1.0909090909090908,0
195,20,20,5,10,1.0,0
196,23,22,5,10,0.9565217391304348,0
197,20,19,4,12,0.95,0
198,18,17,6,10,0.9444444444444444,0
199,25,25,7,12,1.0,0
200,16,15,6,10,0.9375,0
201,13,12,3,7,0.9230769230769231,0
202,11,10,4,5,0.9090909090909091,0
203,21,22,4,13,1.0476190476190477,0
204,16,16,4,8,1.0,0
205,12,11,4,7,0.9166666666666666,0
206,19,20,5,11,1.0526315789473684,0
207,25,28,4,17,1.12,0
208,25,25,6,16,1.0,0
209,19,20,3,11,1.0526315789473684,0
210,24,26,6,12,1.0833333333333333,0
211,12,11,4,6,0.9166666666666666,0
212,27,29,7,13,1.0740740740740742,0
213,18,21,4,9,1.1666666666666667,0
214,25,25,11,13,1.0,0
215,21,20,6,10,0.9523809523809523,0
216,9,8,2,6,0.8888888888888888,0
217,19,20,4,8,1.0526315789473684,0
218,15,15,4,9,1.0,0
219,13,12,3,7,0.9230769230769231,0
220,24,24,0,11,1.0,0
221,21,20,4,12,0.9523809523809523,0
222,22,25,5,13,1.1363636363636365,0
223,22,25,6,11,1.1363636363636365,0
224,20,22,6,9,1.1,0
225,21,23,5,10,1.0952380952380953,0
226,23,22,7,12,0.9565217391304348,0
227,15,14,4,8,0.9333333333333333,0
228,23,25,5,13,1.0869565217391304,0
229,17,17,4,11,1.0,0
230,21,23,5,12,1.0952380952380953,0
231,22,22,5,13,1.0,0
232,15,14,5,9,0.9333333333333333,0
233,26,25,5,14,0.9615384615384616,0
234,21,21,9,9,1.0,0
235,19,19,6,10,1.0,0
236,13,12,5,6,0.9230769230769231,0
